T_sec,Sa_X_ft_s2,Sa_Y_ft_s2,Sa_SRSS_ft_s2,Sd_X_ft,Sd_Y_ft,Sd_SRSS_ft
6.500000000000000222e-01,1.545962131928257577e+01,1.374036542575275099e+01,2.068326698973926270e+01,1.654496406835707090e-01,1.470500781100146648e-01,2.213533579471612112e-01
6.999999999999999556e-01,1.387653153362269443e+01,1.265075365512518424e+01,1.877763817540130020e+01,1.722333584800173345e-01,1.570191934523520461e-01,2.330651344275529446e-01
7.500000000000000000e-01,1.229556068370674105e+01,1.162138674799721549e+01,1.691855320271920604e+01,1.751907321589723787e-01,1.655849054351892224e-01,2.410604769396620939e-01
7.999999999999999334e-01,1.128556024663534529e+01,1.067868314685572884e+01,1.553699275379172562e+01,1.829546115609610168e-01,1.731162905889450376e-01,2.518762393690563983e-01
8.499999999999999778e-01,1.107337170208081822e+01,1.024989570139793393e+01,1.508906633102194483e+01,2.026553124528054639e-01,1.875847638696293285e-01,2.761470972169883242e-01
9.000000000000000222e-01,1.061742212482303849e+01,9.897290526273605948e+00,1.451502712150917951e+01,2.178433798257765619e-01,2.030680511722629256e-01,2.978126450317688523e-01
9.499999999999999556e-01,1.001658451373923597e+01,9.589704887956559176e+00,1.386702582239531978e+01,2.289850523961191875e-01,2.192263314126737250e-01,3.170084204015926610e-01
1.000000000000000000e+00,9.391136972309997333e+00,9.319676544076287428e+00,1.323063961110321785e+01,2.378802784454422947e-01,2.360701646523853670e-01,3.351360164355444149e-01
1.049999999999999822e+00,8.954198158245274541e+00,9.070622727551089781e+00,1.274573894769108406e+01,2.500607691118751919e-01,2.533121174548111920e-01,3.559458064063441007e-01
1.099999999999999867e+00,8.412591197889813799e+00,8.813475956472357709e+00,1.218396688677909623e+01,2.578430435449656777e-01,2.701300243137019219e-01,3.734344187943208770e-01
1.149999999999999911e+00,7.984878198456358156e+00,8.515990694764724367e+00,1.167391868043901582e+01,2.674879607204158072e-01,2.852798662473052249e-01,3.910682948238671242e-01
1.199999999999999956e+00,7.560653319594369037e+00,8.136083276190220204e+00,1.110672452598854854e+01,2.757795636422418206e-01,2.967687315922400426e-01,4.051247311305152810e-01
1.250000000000000000e+00,7.141606062828662616e+00,7.644457438707050301e+00,1.046137021086791741e+01,2.826546794504280480e-01,3.025568265598719275e-01,4.140462547991524689e-01
1.300000000000000044e+00,6.733702874976869701e+00,7.055405391434826257e+00,9.753025153559246263e+00,2.882577000111283261e-01,3.020292057047592182e-01,4.175094522455191082e-01
1.349999999999999867e+00,6.340478538619617410e+00,6.421069004547116599e+00,9.023956740801214238e+00,2.927047951222545574e-01,2.964252108092464422e-01,4.165861287787523404e-01
1.399999999999999911e+00,6.076019877367321520e+00,5.809183757975684870e+00,8.406225876342563907e+00,3.016584676465222659e-01,2.884107534334307554e-01,4.173470903203796434e-01
1.449999999999999956e+00,5.926333763893405937e+00,5.441163976035549688e+00,8.045352527712504198e+00,3.156184440688068471e-01,2.897797823171121001e-01,4.284709143876249682e-01
1.500000000000000000e+00,5.812865674530902638e+00,5.383227488278938822e+00,7.922660256549032276e+00,3.312936171547803954e-01,3.068071767722200249e-01,4.515374895691812163e-01
1.549999999999999822e+00,5.743228374907362266e+00,5.311647450742685628e+00,7.822932366275598071e+00,3.495101123098705020e-01,3.232458080842829373e-01,4.760726531223142821e-01
1.599999999999999867e+00,5.718778041124553013e+00,5.229918795124514297e+00,7.749611144260402540e+00,3.708373504733116222e-01,3.391370001122078204e-01,5.025278552987619829e-01
1.649999999999999911e+00,5.728934480923669526e+00,5.141282514738924725e+00,7.697627958213904442e+00,3.950772363934152986e-01,3.545517398050874736e-01,5.308417456408953683e-01
1.699999999999999956e+00,5.758098308430803947e+00,5.048632387129143417e+00,7.657962203479656615e+00,4.215190253605373139e-01,3.695828881751530015e-01,5.605977167031497288e-01
1.750000000000000000e+00,5.794549028160258075e+00,4.955293992386145874e+00,7.624417157444312920e+00,4.495065272520471500e-01,3.844021309001900422e-01,5.914567746528923697e-01
1.799999999999999822e+00,5.826323324617665556e+00,4.898512482565673842e+00,7.611929323426195104e+00,4.781672801819101259e-01,4.020216970844595616e-01,6.247122479696026742e-01
1.849999999999999867e+00,5.844764989364338525e+00,4.824949295419907358e+00,7.579011379083169686e+00,5.066998474095764093e-01,4.182890289339247780e-01,6.570467617235273838e-01
1.899999999999999911e+00,5.846293587208603704e+00,4.725383686736893019e+00,7.517206907802631122e+00,5.345989310243676185e-01,4.321002751446992307e-01,6.873912021785857362e-01
1.949999999999999956e+00,5.830235347286722991e+00,4.673860974335376284e+00,7.472390555382311561e+00,5.615592329519004666e-01,4.501790454982330658e-01,7.197290775835217813e-01
1.999999999999999778e+00,5.795765168123803157e+00,4.622895442637454444e+00,7.413639872397046027e+00,5.872337869473364114e-01,4.683972381027958209e-01,7.511587669692985081e-01
2.049999999999999822e+00,5.739134119401245293e+00,4.571330700287004056e+00,7.337215058308021121e+00,6.109340900766404570e-01,4.866207521406763492e-01,7.810507146349270347e-01
2.099999999999999645e+00,5.661839632900672825e+00,4.524828742018346617e+00,7.247792986370413360e+00,6.324648832514513375e-01,5.054532568219863853e-01,8.096263480014870284e-01
2.149999999999999467e+00,5.561263982285509222e+00,4.497092067893260214e+00,7.152027275379656324e+00,6.511644670195025908e-01,5.265613300960201304e-01,8.374258160943467422e-01
2.199999999999999734e+00,5.438958371668282332e+00,4.467399952080141290e+00,7.038460804791494496e+00,6.668088569985871628e-01,5.476971236476643190e-01,8.629056675116273389e-01
2.249999999999999556e+00,5.297059452266504209e+00,4.432009817890818937e+00,6.906630862202390198e+00,6.792664221207111996e-01,5.683371083393112810e-01,8.856692051416048539e-01
2.299999999999999822e+00,5.138092569974671342e+00,4.390380858192100888e+00,6.758360698986739301e+00,6.884903535790644069e-01,5.882990289173276599e-01,9.056018520279736084e-01
2.349999999999999645e+00,4.964684155040433922e+00,4.343223533142148263e+00,6.596338334117596958e+00,6.944925837955719938e-01,6.075585957409324056e-01,9.227390726558312162e-01
2.399999999999999467e+00,4.778753716047254407e+00,4.291177672028096524e+00,6.422670230639893951e+00,6.972321352969839126e-01,6.260935693672197155e-01,9.370836718744902649e-01
2.449999999999999734e+00,4.583505494150252879e+00,4.233926465198564415e+00,6.239764092304641352e+00,6.968995567238793765e-01,6.437477778883745616e-01,9.487255628990712841e-01
2.499999999999999556e+00,4.381096260975177792e+00,4.171943548591872108e+00,6.049720441521907688e+00,6.935904043953519116e-01,6.604785288005363686e-01,9.577575560003840360e-01
2.549999999999999822e+00,4.173882048265030953e+00,4.107183120418556932e+00,5.855787268803418932e+00,6.874811521282380156e-01,6.764951551040354616e-01,9.645081800642245629e-01
2.599999999999999645e+00,3.964254861348665671e+00,4.039088140105829616e+00,5.659465487947612061e+00,6.788104612318378583e-01,6.916243731132146744e-01,9.690861240168634483e-01
2.649999999999999467e+00,3.754597904561158828e+00,3.967936920854735483e+00,5.462740048072689092e+00,6.678753958433862881e-01,7.058245673865810588e-01,9.717231417947265193e-01
2.699999999999999734e+00,3.547196701860733103e+00,3.895026977045347394e+00,5.268191301917829250e+00,6.550177419905134357e-01,7.192473352712724921e-01,9.728129170694523875e-01
2.749999999999999556e+00,3.344103819263529509e+00,3.820707148690834387e+00,5.077482985699722562e+00,6.405977409385595900e-01,7.318960476466827014e-01,9.726444829722837859e-01
2.799999999999999378e+00,3.148387252526874569e+00,3.744783173584316671e+00,4.892416918971026263e+00,6.252367130613224466e-01,7.436746927176869359e-01,9.715827272798094327e-01
2.849999999999999645e+00,2.961352511038572555e+00,3.667696631708496913e+00,4.713979982655877699e+00,6.092844452877940187e-01,7.546114484528906319e-01,9.698793602329232044e-01
2.899999999999999467e+00,2.782622226673214794e+00,3.590809244444563397e+00,4.542785212440088038e+00,5.927758594797057912e-01,7.649421526572428576e-01,9.677394879273040207e-01
2.949999999999999734e+00,2.611252385364081441e+00,3.513349424077669259e+00,4.377472238145720063e+00,5.756163813699236576e-01,7.744718562291413866e-01,9.649564107214466668e-01
2.999999999999999556e+00,2.567884898772506475e+00,3.435604568659905489e+00,4.289220396009127967e+00,5.854075591520587762e-01,7.832239232032010001e-01,9.778249967096284134e-01
3.049999999999999378e+00,2.524658430224851813e+00,3.358119168475414806e+00,4.201293198407774376e+00,5.948980853927245960e-01,7.912906712171394741e-01,9.899720492817969397e-01
3.099999999999999645e+00,2.478648681358698092e+00,3.281345125560716891e+00,4.112289522716304546e+00,6.033629327946511411e-01,7.987586273761374533e-01,1.001030555716644344e+00
3.149999999999999467e+00,2.430213243965096748e+00,3.204921569282574545e+00,4.022121166299697848e+00,6.108094593584243448e-01,8.055245422931115451e-01,1.010919375557842059e+00
3.199999999999999734e+00,2.380067134444306731e+00,3.129075073675662733e+00,3.931390387783982199e+00,6.173471211779179013e-01,8.116264708366165426e-01,1.019732806272978465e+00
3.249999999999999556e+00,2.328455191281927128e+00,3.054252255823911799e+00,3.840593758784338174e+00,6.229810982900375604e-01,8.171690105577914531e-01,1.027555663038582701e+00
3.299999999999999378e+00,2.275251131647925806e+00,2.980621251408642536e+00,3.749782761229507599e+00,6.276210225029659195e-01,8.221951992386200558e-01,1.034366034602211215e+00
3.349999999999999645e+00,2.221246658063600332e+00,2.908033350998907363e+00,3.659316150113385291e+00,6.314321123490859167e-01,8.266644476141085107e-01,1.040231042343366941e+00
3.399999999999999467e+00,2.166087852884538201e+00,2.836655890069039287e+00,3.569110985256317647e+00,6.342699910186234691e-01,8.306245305429540426e-01,1.045100728277646551e+00
3.449999999999999734e+00,2.110784073671456706e+00,2.766631457207034739e+00,3.479893536542833843e+00,6.363884107173912730e-01,8.341223614740853609e-01,1.049166489746270914e+00
3.499999999999999556e+00,2.054683910705580985e+00,2.698076971021463599e+00,3.391363341558780053e+00,6.375604553958930110e-01,8.372028288024611076e-01,1.052326903029406235e+00
3.549999999999999378e+00,1.999007452836912169e+00,2.631085862876959336e+00,3.304337091509961688e+00,6.381332625043348861e-01,8.399085272163244742e-01,1.054827187175757963e+00
3.599999999999999645e+00,1.943460521631451110e+00,2.565732157610255637e+00,3.218698541916494626e+00,6.380004541408862417e-01,8.422801819432278458e-01,1.056636401217700749e+00
3.649999999999999467e+00,1.887991689804451534e+00,2.502074642242701596e+00,3.134468078657782542e+00,6.371270890210037896e-01,8.443572828916819928e-01,1.057766585186260322e+00
3.699999999999999734e+00,1.833341028102402070e+00,2.440157323323261185e+00,3.052131564643260297e+00,6.357508785243621841e-01,8.461776277630814747e-01,1.058393007002245145e+00
3.749999999999999556e+00,1.779606675340948518e+00,2.380001620592339329e+00,2.971768435282302612e+00,6.339088644024037933e-01,8.477739185241722764e-01,1.058565569673308060e+00
3.799999999999999378e+00,1.726506871947836030e+00,2.321740860184807520e+00,2.893321033126948549e+00,6.315035085949091131e-01,8.492219307535816553e-01,1.058288509358634943e+00
