T_sec,Sa_X_ft_s2,Sa_Y_ft_s2,Sa_SRSS_ft_s2,Sd_X_ft,Sd_Y_ft,Sd_SRSS_ft
7.749999999999999112e+00,2.665973355811000478e-01,7.583980947754214164e-01,8.038916652745758951e-01,4.056014257920114163e-01,1.153827542531010941e+00,1.223041501547541321e+00
7.799999999999998934e+00,2.626757374836035108e-01,7.498060043994687618e-01,7.944857376290975770e-01,4.048083190329925252e-01,1.155522436710547218e+00,1.224378159270981703e+00
7.849999999999998757e+00,2.588328545634281386e-01,7.411410726275292626e-01,7.850379201904436055e-01,4.040163853622737444e-01,1.156859076918751006e+00,1.225378375641785977e+00
7.899999999999999467e+00,2.550668275500991844e-01,7.323946925809913244e-01,7.755392138617343001e-01,4.032259060364329351e-01,1.157816233215349433e+00,1.226021843686270874e+00
7.949999999999999289e+00,2.513758422938961457e-01,7.235963208575862948e-01,7.660166118613882524e-01,4.024371450700287567e-01,1.158432866467114852e+00,1.226345123463754794e+00
7.999999999999999112e+00,2.477581289615768401e-01,7.147819848037217927e-01,7.565033881394646054e-01,4.016503501343668403e-01,1.158760907944521135e+00,1.226397099451670414e+00
8.049999999999998934e+00,2.442119612058954448e-01,7.059678903655772775e-01,7.470141526258077258e-01,4.008657534008731038e-01,1.158822642637171274e+00,1.226198707118159925e+00
8.099999999999999645e+00,2.407356553227464058e-01,6.971459613045635217e-01,7.375406070901697753e-01,4.000835723461736437e-01,1.158601314256929360e+00,1.225734012850732579e+00
8.150000000000000355e+00,2.373275693968216193e-01,6.882854974286705119e-01,7.280530895246826173e-01,3.993040105163801479e-01,1.158041436997965912e+00,1.224950473537105511e+00
8.199999999999999289e+00,2.339861024368178888e-01,6.794194017210625214e-01,7.185820896519614642e-01,3.985272582484430393e-01,1.157193305708429598e+00,1.223895552056393443e+00
8.250000000000000000e+00,2.307096935086732081e-01,6.704936676924453387e-01,7.090759628520298952e-01,3.977534933593915856e-01,1.155960092287996011e+00,1.222477638422098778e+00
8.300000000000000711e+00,2.274968208643543821e-01,6.615907571145068777e-01,6.996121306858068545e-01,3.969828817965477263e-01,1.154478573948410247e+00,1.220826026158291944e+00
8.349999999999999645e+00,2.243503495028032757e-01,6.526439968663354518e-01,6.901284416452456716e-01,3.962232579829310652e-01,1.152629052348100425e+00,1.218830013776937005e+00
8.400000000000000355e+00,2.212682255935846110e-01,6.436716639220541047e-01,6.806414905025399698e-01,3.954739562854231449e-01,1.150438020629458657e+00,1.216514401645073740e+00
8.449999999999999289e+00,2.182449241690531672e-01,6.347419993622667178e-01,6.712140140670214139e-01,3.947279081484972307e-01,1.148023866196242970e+00,1.213988846253316156e+00
8.500000000000000000e+00,2.152790881833994696e-01,6.257966533767285178e-01,6.617904027610170825e-01,3.939852472590960053e-01,1.145279141114261767e+00,1.211151801439122710e+00
8.550000000000000711e+00,2.123693946893083218e-01,6.168450231547789597e-01,6.523791400646735683e-01,3.932460979277350721e-01,1.142216837490342973e+00,1.208015644510380682e+00
8.599999999999999645e+00,2.095145540417579222e-01,6.079114651013755033e-01,6.430028753878302972e-01,3.925105755813798059e-01,1.138878776993714537e+00,1.204620031640651678e+00
8.650000000000000355e+00,2.067133091030747827e-01,5.990365019792787127e-01,6.336995525198938495e-01,3.917787872191124676e-01,1.135339544723733329e+00,1.201035594779926940e+00
8.699999999999999289e+00,2.039644344646021901e-01,5.901773476181927380e-01,6.244283723279316911e-01,3.910508318581077392e-01,1.131517577246826889e+00,1.197185357710094600e+00
8.750000000000000000e+00,2.012667356702048105e-01,5.813414206517666383e-01,6.151960226242968455e-01,3.903268009417184548e-01,1.127424937967579810e+00,1.193080886731740842e+00
8.800000000000000711e+00,1.986190484606304152e-01,5.725356700258985576e-01,6.060087622001936181e-01,3.896067787451931164e-01,1.123073440560390601e+00,1.188733525621431752e+00
8.849999999999999645e+00,1.960202380204405515e-01,5.637912931890742829e-01,5.968957664361499438e-01,3.888908427439450310e-01,1.118523645079618989e+00,1.184200672256308540e+00
8.900000000000000355e+00,1.934691982446170577e-01,5.551180459255330435e-01,5.878659503505856421e-01,3.881790639770894558e-01,1.113795919036739246e+00,1.179501731653253671e+00
8.949999999999999289e+00,1.909648510104034747e-01,5.464906954675986528e-01,5.788952017024198149e-01,3.874715073780582442e-01,1.108840566316457998e+00,1.174589958470115603e+00
9.000000000000000000e+00,1.885061454740162568e-01,5.379145855575010460e-01,5.699883053510563791e-01,3.867682321114613297e-01,1.103668385770062432e+00,1.169475767649300391e+00
9.050000000000000711e+00,1.860920573655077959e-01,5.293946804998876932e-01,5.611496962095815499e-01,3.860692918628084724e-01,1.098289912583941597e+00,1.164169330554233550e+00
9.099999999999999645e+00,1.837215883104951486e-01,5.209355823113993589e-01,5.523834745260287615e-01,3.853747351391525466e-01,1.092715417409373169e+00,1.158680572861956914e+00
9.150000000000000355e+00,1.813937651604603241e-01,5.125724122199151189e-01,5.437225172898679793e-01,3.846846055443318146e-01,1.087020361660727685e+00,1.153080878519723518e+00
9.199999999999999289e+00,1.791076393364265662e-01,5.042899757320215004e-01,5.351522457137504185e-01,3.839989420386974994e-01,1.081175643201239822e+00,1.147342999690351473e+00
9.250000000000000000e+00,1.768622861897769238e-01,4.960780730415547124e-01,5.266628170175835510e-01,3.833177791919022415e-01,1.075161637682587434e+00,1.141448670325965864e+00
9.300000000000000711e+00,1.746568043743149667e-01,4.879400929203045467e-01,5.182572079511515994e-01,3.826411474168906479e-01,1.068987593667358738e+00,1.135406853560099405e+00
9.349999999999999645e+00,1.724903152348892243e-01,4.798791381413046730e-01,5.099381296520910656e-01,3.819690731970395992e-01,1.062662500168895408e+00,1.129226267027212183e+00
9.400000000000000355e+00,1.703619622082090390e-01,4.718980396495480178e-01,5.017080405898610707e-01,3.813015792977441087e-01,1.056195088701624485e+00,1.122915384066130784e+00
9.449999999999999289e+00,1.682709102414078062e-01,4.639993702677786547e-01,4.935691591280466639e-01,3.806386849754259116e-01,1.049593835766222893e+00,1.116482435409654972e+00
9.500000000000000000e+00,1.662163452176313450e-01,4.562151696373880627e-01,4.855513921561522839e-01,3.799804061608459960e-01,1.042934888434579932e+00,1.109999229990819014e+00
9.550000000000000711e+00,1.641974734050514473e-01,4.485206789708613973e-01,4.776312487024745312e-01,3.793267556542417318e-01,1.036166333559554120e+00,1.103417173310902388e+00
9.599999999999999645e+00,1.622135209094026087e-01,4.409132797731860620e-01,4.698060734453877174e-01,3.786777432882841854e-01,1.029285628191231705e+00,1.096734123506206027e+00
9.650000000000000355e+00,1.602637331495128103e-01,4.333947011543063943e-01,4.620772999744185983e-01,3.780333761039159080e-01,1.022300297410788206e+00,1.089957398954064960e+00
9.699999999999999289e+00,1.583473743386203669e-01,4.259664733849786722e-01,4.544461765797693786e-01,3.773936585005454036e-01,1.015217628083677104e+00,1.083094089102268898e+00
9.750000000000000000e+00,1.564637269837796940e-01,4.186299387932038707e-01,4.469137763771177108e-01,3.767585923898291722e-01,1.008044672797028696e+00,1.076151057841804093e+00
9.800000000000000711e+00,1.546120913956390563e-01,4.113862621704069134e-01,4.394810069937860608e-01,3.761281773360193315e-01,1.000788253845438458e+00,1.069134946964656052e+00
9.849999999999999645e+00,1.527917852118288455e-01,4.042364407723293973e-01,4.321486198942426360e-01,3.755024106913150139e-01,9.934549674175495726e-01,1.062052179848802735e+00
9.900000000000000355e+00,1.510021429329113651e-01,3.971989310951979379e-01,4.249336866306308580e-01,3.748812877246914810e-01,9.860949247455021993e-01,1.054949847383732431e+00
9.949999999999999289e+00,1.492425154701137735e-01,3.902628178749715238e-01,4.178257955650421240e-01,3.742648017431960961e-01,9.786865069891328428e-01,1.047807912160651611e+00
1.000000000000000000e+01,1.475122697058628973e-01,3.834214067592337516e-01,4.108185060035696723e-01,3.736529442091448550e-01,9.712177691663954615e-01,1.040615432261463358e+00
