T_sec,Sa_5pct_ft_s2,Sa_20pct_ft_s2,Sd_5pct_in,Sd_20pct_in
2.599999999999999645e+00,8.425209192305768369e+00,5.659465487947612061e+00,1.731206596295814393e+01,1.162903348820236182e+01
2.649999999999999467e+00,8.086417351417923172e+00,5.462740048072689092e+00,1.726113738988296831e+01,1.166067770153671823e+01
2.699999999999999734e+00,7.747295241917397490e+00,5.268191301917829250e+00,1.716718726051798427e+01,1.167375500483342776e+01
2.749999999999999556e+00,7.716713505727453182e+00,5.077482985699722562e+00,1.773859726757313737e+01,1.167173379566740543e+01
2.799999999999999378e+00,7.775817716942757585e+00,4.892416918971026263e+00,1.853035089048831452e+01,1.165899272735771319e+01
2.849999999999999645e+00,7.584001081402341526e+00,4.713979982655877699e+00,1.872447352911873963e+01,1.163855232279507845e+01
2.899999999999999467e+00,7.326153097332741559e+00,4.542785212440088038e+00,1.872809031994265183e+01,1.161287385512764914e+01
2.949999999999999734e+00,7.115022340567818127e+00,4.377472238145720063e+00,1.882096163204591477e+01,1.157947692865736045e+01
2.999999999999999556e+00,6.910112602068411825e+00,4.289220396009127967e+00,1.890380127447195946e+01,1.173389996051554007e+01
3.049999999999999378e+00,6.683719682275699903e+00,4.201293198407774376e+00,1.889902568055525833e+01,1.187966459138156239e+01
3.099999999999999645e+00,6.376263922820608165e+00,4.112289522716304546e+00,1.862563902506853353e+01,1.201236666859973212e+01
3.149999999999999467e+00,6.037811419062466101e+00,4.022121166299697848e+00,1.821051220625459877e+01,1.213103250669410471e+01
3.199999999999999734e+00,5.649956739242488091e+00,3.931390387783982199e+00,1.758598054957215595e+01,1.223679367527574158e+01
3.249999999999999556e+00,5.311665129881787628e+00,3.840593758784338174e+00,1.705371177638604152e+01,1.233066795646299241e+01
3.299999999999999378e+00,5.164367760590983458e+00,3.749782761229507599e+00,1.709489943891620456e+01,1.241239241522653458e+01
3.349999999999999645e+00,5.018826357579976083e+00,3.659316150113385291e+00,1.712037580504985712e+01,1.248277250812040329e+01
3.399999999999999467e+00,4.875167382066097232e+00,3.569110985256317647e+00,1.713045406271714199e+01,1.254120873933175773e+01
3.449999999999999734e+00,4.733854801558990744e+00,3.479893536542833843e+00,1.712673714743931441e+01,1.258999787695525185e+01
3.499999999999999556e+00,4.594884633318638834e+00,3.391363341558780053e+00,1.710929875323288485e+01,1.262792283635287482e+01
3.549999999999999378e+00,4.458316795041572966e+00,3.304337091509961688e+00,1.707847704715800319e+01,1.265792624610909556e+01
3.599999999999999645e+00,4.324352443132309709e+00,3.218698541916494626e+00,1.703521399200425179e+01,1.267963681461240810e+01
3.649999999999999467e+00,4.193119663060338453e+00,3.134468078657782542e+00,1.698026621156836313e+01,1.269319902223512386e+01
3.699999999999999734e+00,4.064653331155475335e+00,3.052131564643260297e+00,1.691408343500879141e+01,1.270071608402694174e+01
3.749999999999999556e+00,3.939297356261901140e+00,2.971768435282302612e+00,1.683847705172010834e+01,1.270278683607969583e+01
3.799999999999999378e+00,3.817008446789794007e+00,2.893321033126948549e+00,1.675374201388284234e+01,1.269946211230361932e+01
3.849999999999999645e+00,3.698311344411062240e+00,2.816711430343070699e+00,1.666274077707179302e+01,1.269069259908287250e+01
