Joint Name,Displacement X,Displacement Y,Displacement Z
1,0.0,0.0,0.0
2,0.584076991316709,11.350135113338652,0.005408823628641198
3,0.8686166941507917,14.43414770736575,0.006912169990591849
4,0.0,0.0,0.0
5,0.5840769913169827,11.35028148615189,0.00041246282031816853
6,0.8686166941511605,14.421380077022972,0.0006562813140657481
7,0.0,0.0,0.0
8,0.5840769913168954,11.350281523692269,0.0018614841442443865
9,0.8686166941510491,14.411973597468867,0.002463659670191103
10,0.0,0.0,0.0
11,0.5840769913169069,11.350230800813634,0.003296154337365311
12,0.8686166941510647,14.40577953048018,0.004249171049210098
13,0.0,0.0,0.0
14,0.5840769913171483,11.350051525456303,-0.0016671188485422996
15,0.8686166941513845,14.402928869830879,-0.001956639170966682
16,0.0,0.0,0.0
17,0.5844549707007363,11.350135113338103,0.0032431922319746103
18,0.8604116704372752,14.434147707365417,0.0040382825602591505
19,0.0,0.0,0.0
20,0.5844549707010108,11.350281486151347,-0.0017531685763492893
21,0.8604116704376444,14.421380077022645,-0.002217606116268117
22,0.0,0.0,0.0
23,0.5844549707009232,11.350281523691734,-0.0003041472524228351
24,0.8604116704375329,14.41197359746854,-0.00041022776014245667
25,0.0,0.0,0.0
26,0.5844549707009351,11.350230800813097,0.00113052294069807
27,0.8604116704375484,14.405779530479847,0.0013752836188765383
28,0.0,0.0,0.0
29,0.5844549707011767,11.35005152545577,-0.0038327502452102677
30,0.8604116704378684,14.402928869830546,-0.004830526601301217
31,0.0,0.0,0.0
32,0.5844146079334214,11.350135113332053,0.0035308145413595914
33,0.854706336027956,14.43414770735912,0.004423347924885179
34,0.0,0.0,0.0
35,0.5844146079336963,11.35028148614529,-0.0014655462669627428
36,0.8547063360283259,14.421380077016343,-0.0018325407516404453
37,0.0,0.0,0.0
38,0.5844146079336086,11.350281523685672,-1.65249430367412e-05
39,0.8547063360282138,14.411973597462234,-2.516239551525071e-05
40,0.0,0.0,0.0
41,0.5844146079336205,11.350230800807038,0.0014181452500837514
42,0.8547063360282294,14.405779530473543,0.0017603489835033264
43,0.0,0.0,0.0
44,0.5844146079338625,11.350051525449711,-0.003545127935823041
45,0.8547063360285496,14.40292886982424,-0.004445461236672814
46,0.0,0.0,0.0
47,0.5841249621707773,11.350135113327434,0.003799039891542589
48,0.8512932081141684,14.434147707353834,0.004774118974261905
49,0.0,0.0,0.0
50,0.5841249621710518,11.350281486140666,-0.00119732091677812
51,0.8512932081145382,14.421380077011058,-0.0014817697022618216
52,0.0,0.0,0.0
53,0.5841249621709641,11.350281523681048,0.0002517004071474193
54,0.8512932081144259,14.411973597456946,0.00032560865386284
55,0.0,0.0,0.0
56,0.584124962170976,11.35023080080241,0.0016863706002674698
57,0.8512932081144416,14.40577953046825,0.0021111200328809043
58,0.0,0.0,0.0
59,0.5841249621712175,11.350051525445085,-0.003276902585637702
60,0.851293208114762,14.402928869818943,-0.004094690187293342
61,0.0,0.0,0.0
62,0.5835515380260852,11.350135113326713,0.001750441767658435
63,0.85026049147077,14.434147707352345,0.002088287649866528
64,0.0,0.0,0.0
65,0.5835515380263591,11.350281486139949,-0.003245919040662272
66,0.8502604914711397,14.421380077009566,-0.0041676010266570715
67,0.0,0.0,0.0
68,0.5835515380262715,11.350281523680327,-0.0017968977167367407
69,0.8502604914710271,14.411973597455455,-0.0023602226705324667
70,0.0,0.0,0.0
71,0.5835515380262835,11.35023080080169,-0.0003622275236169507
72,0.850260491471043,14.40577953046677,-0.0005747112915147617
73,0.0,0.0,0.0
74,0.5835515380265244,11.350051525444359,-0.005325500709522024
75,0.8502604914713633,14.402928869817469,-0.006780521511688756
