Obj,Elm,I/J,Case,StepType,StepNum,F1,F2,F3,M1,M2,M3
1,1-1,1,TOP_LOAD,,0.0,-8.258297875512994,-12.227487444337958,-88.09068265811389,-5.329070518200751e-15,7.105427357601002e-14,0.0
1,1-1,2,TOP_LOAD,,0.0,8.258297875512994,12.227487444337958,88.09068265811389,195.63979910940736,-132.13276600820794,0.0
2,2-1,2,TOP_LOAD,,0.0,-5.159138848202284,-10.857447678177476,-66.34292755232012,84.03656069971487,-24.307122769754457,3.0672687166922866e-15
2,2-1,3,TOP_LOAD,,0.0,5.159138848202284,10.857447678177476,66.34292755232012,89.68260215112474,-58.239098801482214,-3.0672687166922866e-15
3,3-1,3,TOP_LOAD,,0.0,-6.681553872152763,-11.342606829705426,-51.42205511850571,90.80238246847057,-52.50342608834487,-2.8115880107969254e-15
3,3-1,4,TOP_LOAD,,0.0,6.681553872152763,11.342606829705426,51.42205511850571,90.67932680681636,-54.401435866099234,2.8115880107969254e-15
4,4-1,4,TOP_LOAD,,0.0,-6.555300649141445,-11.319326441069556,-36.8511380446443,90.55247258979637,-51.775171549649556,1.7797490217978545e-14
4,4-1,5,TOP_LOAD,,0.0,6.555300649141445,11.319326441069556,36.8511380446443,90.55675046731642,-53.10963883661333,-1.7797490217978545e-14
5,5-1,5,TOP_LOAD,,0.0,-6.508713291462886,-11.295822145984996,-22.419612422086402,90.4262146759489,-50.95051663605565,4.6644304806072126e-14
5,5-1,6,TOP_LOAD,,0.0,6.508713291462886,11.295822145984996,22.419612422086402,90.30693965981092,-53.188896027350296,-4.6644304806072126e-14
6,6-1,6,TOP_LOAD,,0.0,-7.142422493400378,-11.767656836532634,-8.20981767019623,91.86325493195757,-47.185590413365496,9.146037594123542e-14
6,6-1,7,TOP_LOAD,,0.0,7.142422493400378,11.767656836532634,8.20981767019623,96.41925445256456,-67.09316948104032,-9.146037594123542e-14
7,7-1,8,TOP_LOAD,,0.0,-8.258297875515968,-13.23711386141694,-22.89642755314398,-1.3322676295501878e-14,1.2789769243681803e-13,0.0
7,7-1,9,TOP_LOAD,,0.0,8.258297875515968,13.23711386141694,22.89642755314398,211.79382178267113,-132.13276600825554,0.0
8,8-1,9,TOP_LOAD,,0.0,-5.159138848203245,-14.050014394574477,-17.841138575387248,111.81219360836691,-24.30712276975349,3.736738482490458e-15
8,8-1,10,TOP_LOAD,,0.0,5.159138848203245,14.050014394574477,17.841138575387248,112.98803670482467,-58.23909880149833,-3.736738482490458e-15
9,9-1,10,TOP_LOAD,,0.0,-6.6815538721537635,-13.743787884519763,-13.567251786189786,109.8977217992038,-52.50342608835169,1.3726808497940346e-15
9,9-1,11,TOP_LOAD,,0.0,6.6815538721537635,13.743787884519763,13.567251786189786,110.00288435311242,-54.40143586610864,-1.3726808497940346e-15
10,10-1,11,TOP_LOAD,,0.0,-6.555300649142664,-13.759839106850096,-9.697311262124686,110.08425303273096,-51.77517154965973,1.4091543616704041e-14
10,10-1,12,TOP_LOAD,,0.0,6.555300649142664,13.759839106850096,9.697311262124686,110.07317267687058,-53.109638836623105,-1.4091543616704041e-14
11,11-1,12,TOP_LOAD,,0.0,-6.508713291464085,-13.768107146075927,-5.9401052695613,110.11061931794515,-50.95051663606432,2.3233011152949975e-14
11,11-1,13,TOP_LOAD,,0.0,6.508713291464085,13.768107146075927,5.9401052695613,110.1790950192698,-53.18889602736127,-2.3233011152949975e-14
12,12-1,13,TOP_LOAD,,0.0,-7.142422493401302,-13.668304763581183,-2.4998709104420413,108.48871690590362,-47.18559041337109,4.6858205654056457e-14
12,12-1,14,TOP_LOAD,,0.0,7.142422493401302,13.668304763581183,2.4998709104420413,110.20415931139541,-67.09316948104973,-4.6858205654056457e-14
13,13-1,15,TOP_LOAD,,0.0,-8.258297875516078,-13.00156049415174,-44.87625016469717,2.398081733190338e-14,9.947598300641403e-14,0.0
13,13-1,16,TOP_LOAD,,0.0,8.258297875516078,13.00156049415174,44.87625016469717,208.0249679064278,-132.13276600825733,0.0
14,14-1,16,TOP_LOAD,,0.0,-5.159138848203911,-13.331102816764252,-33.90689484794592,105.46479415839539,-24.30712276976115,1.5859579509728957e-15
14,14-1,17,TOP_LOAD,,0.0,5.159138848203911,13.331102816764252,33.90689484794592,107.83285090983259,-58.23909880150143,-1.5859579509728957e-15
15,15-1,17,TOP_LOAD,,0.0,-6.681553872155467,-13.233598534712048,-26.183636639368274,105.85694279577203,-52.50342608836411,-1.3879030083544344e-15
15,15-1,18,TOP_LOAD,,0.0,6.681553872155467,13.233598534712048,26.183636639368274,105.88063375962062,-54.401435866123364,1.3879030083544344e-15
16,16-1,18,TOP_LOAD,,0.0,-6.5553006491428505,-13.237306047073409,-18.780115093954862,105.89577519207293,-51.775171549657045,1.3227077309246355e-14
16,16-1,19,TOP_LOAD,,0.0,6.5553006491428505,13.237306047073409,18.780115093954862,105.9011215611017,-53.109638836628335,-1.3227077309246355e-14
17,17-1,19,TOP_LOAD,,0.0,-6.508713291463614,-13.239685086145174,-11.515532172931856,105.9061642175379,-50.95051663606213,2.7241285193507026e-14
17,17-1,20,TOP_LOAD,,0.0,6.508713291463614,13.239685086145174,11.515532172931856,105.928797160785,-53.188896027355696,-2.7241285193507026e-14
18,18-1,20,TOP_LOAD,,0.0,-7.1424224934026235,-13.179802187549104,-4.48607835534105,104.28495375419648,-47.18559041338283,5.33897577889063e-14
18,18-1,21,TOP_LOAD,,0.0,7.1424224934026235,13.179802187549104,4.48607835534105,106.5918812465893,-67.09316948105914,-5.33897577889063e-14
19,19-1,22,TOP_LOAD,,0.0,-8.25829787551433,-13.067666891295465,-41.12228202997319,4.973799150320701e-14,5.684341886080802e-14,0.0
19,19-1,23,TOP_LOAD,,0.0,8.25829787551433,13.067666891295465,41.12228202997319,209.08267026072735,-132.13276600822934,0.0
20,20-1,23,TOP_LOAD,,0.0,-5.15913884820316,-13.522816462504608,-31.213845280067616,107.19029447625094,-24.30712276975838,9.637152555338386e-16
20,20-1,24,TOP_LOAD,,0.0,5.15913884820316,13.522816462504608,31.213845280067616,109.17476892382277,-58.23909880149196,-9.637152555338386e-16
21,21-1,24,TOP_LOAD,,0.0,-6.681553872153849,-13.359892428503471,-24.062663279533993,106.85135115731553,-52.50342608835204,-1.6764344453811077e-15
21,21-1,25,TOP_LOAD,,0.0,6.681553872153849,13.359892428503471,24.062663279533993,106.90692769873999,-54.40143586610964,1.6764344453811077e-15
22,22-1,25,TOP_LOAD,,0.0,-6.5553006491412305,-13.367582375054285,-17.253340380996264,106.94308937302443,-51.77517154965257,1.3048073121207603e-14
22,22-1,26,TOP_LOAD,,0.0,6.5553006491412305,13.367582375054285,17.253340380996264,106.93822862784411,-53.10963883660713,-1.3048073121207603e-14
23,23-1,26,TOP_LOAD,,0.0,-6.508713291466867,-13.372578758005899,-10.573656053227694,106.95634505016363,-50.950516636087,2.6404674060572076e-14
23,23-1,27,TOP_LOAD,,0.0,6.508713291466867,13.372578758005899,10.573656053227694,107.00491507793075,-53.188896027383095,-2.6404674060572076e-14
24,24-1,27,TOP_LOAD,,0.0,-7.142422493400369,-13.240810049046033,-4.147438240662652,104.84594481153093,-47.185590413359144,5.1515986069802093e-14
24,24-1,28,TOP_LOAD,,0.0,7.142422493400369,13.240810049046033,4.147438240662652,107.00701597320561,-67.09316948104677,-5.1515986069802093e-14
25,25-1,29,TOP_LOAD,,0.0,-8.258297875514135,-13.001558614989914,-37.3889208096578,2.7533531010703882e-14,5.684341886080802e-14,0.0
25,25-1,30,TOP_LOAD,,0.0,8.258297875514135,13.001558614989914,37.3889208096578,208.0249378398386,-132.1327660082263,0.0
26,26-1,30,TOP_LOAD,,0.0,-5.15913884820314,-13.331091123217465,-28.541509435365363,105.46471174873685,-24.307122769758664,1.7200149094829932e-15
26,26-1,31,TOP_LOAD,,0.0,5.15913884820314,13.331091123217465,28.541509435365363,107.8327462227426,-58.23909880149168,-1.7200149094829932e-15
27,27-1,31,TOP_LOAD,,0.0,-6.681553872153506,-13.23358477209902,-21.962624788621042,105.8568251662058,-52.503426088349485,-1.0757505707257426e-15
27,27-1,32,TOP_LOAD,,0.0,6.681553872153506,13.23358477209902,21.962624788621042,105.88053118737865,-54.40143586610651,1.0757505707257426e-15
28,28-1,32,TOP_LOAD,,0.0,-6.555300649141682,-13.2372035538936,-15.747724809526986,105.89525738312403,-51.77517154965457,1.3242812339166717e-14
28,28-1,33,TOP_LOAD,,0.0,6.555300649141682,13.2372035538936,15.747724809526986,105.89999947917357,-53.10963883661256,-1.3242812339166717e-14
29,29-1,33,TOP_LOAD,,0.0,-6.508713291465082,-13.242029271590871,-9.65459441971808,105.91668515924772,-50.95051663607681,2.5545357397768778e-14
29,29-1,34,TOP_LOAD,,0.0,6.508713291465082,13.242029271590871,9.65459441971808,105.95578318620622,-53.18889602736425,-2.5545357397768778e-14
30,30-1,34,TOP_LOAD,,0.0,-7.142422493402719,-13.099233520130424,-3.821745319198456,103.63970113031266,-47.185590413381796,5.3608448322619346e-14
30,30-1,35,TOP_LOAD,,0.0,7.142422493402719,13.099233520130424,3.821745319198456,105.94803519177412,-67.09316948106172,-5.3608448322619346e-14
31,31-1,36,TOP_LOAD,,0.0,-8.258297875512806,-13.237116038489937,-59.29040920824947,2.220446049250313e-14,4.263256414560601e-14,0.0
31,31-1,37,TOP_LOAD,,0.0,8.258297875512806,13.237116038489937,59.29040920824947,211.79385661583896,-132.132766008205,0.0
32,32-1,37,TOP_LOAD,,0.0,-5.1591388482021046,-14.050028844261481,-44.52878781513951,111.8122936700541,-24.30712276975497,4.031432540506042e-16
32,32-1,38,TOP_LOAD,,0.0,5.1591388482021046,14.050028844261481,44.52878781513951,112.98816783812961,-58.23909880147869,-4.031432540506042e-16
33,33-1,38,TOP_LOAD,,0.0,-6.681553872153485,-13.74379135039741,-34.5002277577867,109.89779082180601,-52.50342608835132,-1.0878389223978288e-15
