set_name,record_id,split,weight,scale_factor,notes
peer_mle_all,RSN3757_LANDERS_NPF180,all,1.0,1.0,PEER result_id=28; RSN=3757
peer_mle_all,RSN3758_LANDERS_TPP045,all,1.0,1.0,PEER result_id=29; RSN=3758
peer_mle_all,RSN3758_LANDERS_TPP135,all,1.0,1.0,PEER result_id=29; RSN=3758
peer_mle_all,RSN3759_LANDERS_WWT180,all,1.0,1.0,PEER result_id=30; RSN=3759
peer_mle_all,RSN3759_LANDERS_WWT270,all,1.0,1.0,PEER result_id=30; RSN=3759
peer_mle_all,RSN3884_TOTTORI_HRS021NS,all,1.0,1.0,PEER result_id=31; RSN=3884
peer_mle_all,RSN3884_TOTTORI_HRS021EW,all,1.0,1.0,PEER result_id=31; RSN=3884
peer_mle_all,RSN3908_TOTTORI_OKY005NS,all,1.0,1.0,PEER result_id=32; RSN=3908
peer_mle_all,RSN3908_TOTTORI_OKY005EW,all,1.0,1.0,PEER result_id=32; RSN=3908
peer_mle_all,RSN3936_TOTTORI_SMN004NS,all,1.0,1.0,PEER result_id=33; RSN=3936
peer_mle_all,RSN3936_TOTTORI_SMN004EW,all,1.0,1.0,PEER result_id=33; RSN=3936
peer_mle_all,RSN3969_TOTTORI_TTRH04NS,all,1.0,1.0,PEER result_id=34; RSN=3969
peer_mle_all,RSN3969_TOTTORI_TTRH04EW,all,1.0,1.0,PEER result_id=34; RSN=3969
peer_mle_all,RSN4840_CHUETSU_65003NS,all,1.0,1.0,PEER result_id=35; RSN=4840
peer_mle_all,RSN4840_CHUETSU_65003EW,all,1.0,1.0,PEER result_id=35; RSN=4840
peer_mle_all,RSN4849_CHUETSU_65012NS,all,1.0,1.0,PEER result_id=36; RSN=4849
peer_mle_all,RSN4849_CHUETSU_65012EW,all,1.0,1.0,PEER result_id=36; RSN=4849
peer_mle_all,RSN4853_CHUETSU_65019NS,all,1.0,1.0,PEER result_id=37; RSN=4853
