record_id,source,database,event_name,event_year,station_name,station_id,component,component_angle_deg,tectonic_region,magnitude,mechanism,rrup_km,rjb_km,rx_km,vs30_m_per_s,site_class,dt_sec,npts,duration_sec,raw_units,processed_units,pga_g,pgv_cm_s,arias_intensity,significant_duration_5_95_sec,scale_factor,raw_file,processed_file,scaled_file,download_url,citation,license_notes,usable,notes
RSN776_LOMAP_HSP090,PEER,NGA-West2,Loma Prieta,1989,Hollister - South & Pine,RSN776,HSP090,90,,6.93,Reverse Oblique,27.93,27.67,,282.14,D,0.005,11999,59.99,g,in/sec^2,0.1786514,30.88744,2.2,28.8,1.0,raw/RSN776_LOMAP_HSP090.AT2,processed/RSN776_LOMAP_HSP090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=6; horizontal_component=2; vertical_file=RSN776_LOMAP_HSP-UP.AT2
RSN800_LOMAP_SJW160,PEER,NGA-West2,Loma Prieta,1989,Salinas - John & Work,RSN800,SJW160,160,,6.93,Reverse Oblique,32.78,28.66,,279.56,D,0.005,7999,39.99,g,in/sec^2,0.09151736,11.85928,0.2,21.5,1.0,raw/RSN800_LOMAP_SJW160.AT2,processed/RSN800_LOMAP_SJW160_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=7; horizontal_component=1; vertical_file=RSN800_LOMAP_SJW-UP.AT2
RSN800_LOMAP_SJW250,PEER,NGA-West2,Loma Prieta,1989,Salinas - John & Work,RSN800,SJW250,250,,6.93,Reverse Oblique,32.78,28.66,,279.56,D,0.005,7998,39.985,g,in/sec^2,0.1123007,16.23184,0.2,21.5,1.0,raw/RSN800_LOMAP_SJW250.AT2,processed/RSN800_LOMAP_SJW250_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=7; horizontal_component=2; vertical_file=RSN800_LOMAP_SJW-UP.AT2
RSN806_LOMAP_SVL270,PEER,NGA-West2,Loma Prieta,1989,Sunnyvale - Colton Ave.,RSN806,SVL270,270,,6.93,Reverse Oblique,24.23,23.92,,267.71,D,0.005,7858,39.285000000000004,g,in/sec^2,0.2073666,38.67793,0.8,25.3,1.0,raw/RSN806_LOMAP_SVL270.AT2,processed/RSN806_LOMAP_SVL270_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=8; horizontal_component=1; vertical_file=RSN806_LOMAP_SVL-UP.AT2
RSN806_LOMAP_SVL360,PEER,NGA-West2,Loma Prieta,1989,Sunnyvale - Colton Ave.,RSN806,SVL360,360,,6.93,Reverse Oblique,24.23,23.92,,267.71,D,0.005,7863,39.31,g,in/sec^2,0.2072397,37.00722,0.8,25.3,1.0,raw/RSN806_LOMAP_SVL360.AT2,processed/RSN806_LOMAP_SVL360_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=8; horizontal_component=2; vertical_file=RSN806_LOMAP_SVL-UP.AT2
RSN838_LANDERS_BRS000,PEER,NGA-West2,Landers,1992,Barstow,RSN838,BRS000,0,,7.28,strike slip,34.86,34.86,,370.08,C,0.02,2000,39.980000000000004,g,in/sec^2,0.1304591,20.43698,0.2,21.3,1.0,raw/RSN838_LANDERS_BRS000.AT2,processed/RSN838_LANDERS_BRS000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=9; horizontal_component=1; vertical_file=RSN838_LANDERS_BRS-UP.AT2
RSN838_LANDERS_BRS090,PEER,NGA-West2,Landers,1992,Barstow,RSN838,BRS090,90,,7.28,strike slip,34.86,34.86,,370.08,C,0.02,2000,39.980000000000004,g,in/sec^2,0.1354495,25.02897,0.2,21.3,1.0,raw/RSN838_LANDERS_BRS090.AT2,processed/RSN838_LANDERS_BRS090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=9; horizontal_component=2; vertical_file=RSN838_LANDERS_BRS-UP.AT2
RSN850_LANDERS_DSP000,PEER,NGA-West2,Landers,1992,Desert Hot Springs,RSN850,DSP000,0,,7.28,strike slip,21.78,21.78,,359.0,D,0.02,2500,49.980000000000004,g,in/sec^2,0.1712281,19.44574,0.7,31.7,1.0,raw/RSN850_LANDERS_DSP000.AT2,processed/RSN850_LANDERS_DSP000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=10; horizontal_component=1; vertical_file=RSN850_LANDERS_DSP-UP.AT2
RSN850_LANDERS_DSP090,PEER,NGA-West2,Landers,1992,Desert Hot Springs,RSN850,DSP090,90,,7.28,strike slip,21.78,21.78,,359.0,D,0.02,2500,49.980000000000004,g,in/sec^2,0.1540606,20.86655,0.7,31.7,1.0,raw/RSN850_LANDERS_DSP090.AT2,processed/RSN850_LANDERS_DSP090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=10; horizontal_component=2; vertical_file=RSN850_LANDERS_DSP-UP.AT2
RSN864_LANDERS_JOS000,PEER,NGA-West2,Landers,1992,Joshua Tree,RSN864,JOS000,0,,7.28,strike slip,11.03,11.03,,379.32,C,0.02,2200,43.980000000000004,g,in/sec^2,0.2735839,27.00758,2.3,27.1,1.0,raw/RSN864_LANDERS_JOS000.AT2,processed/RSN864_LANDERS_JOS000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=11; horizontal_component=1; vertical_file=RSN864_LANDERS_JOS-UP.AT2
